1/12 7:45:25|Utils|isSplit|Splitting for method GET = false
1/12 7:45:25|Utils|isSplit|result = false
1/12 7:45:25|Utils|isSplitForTimeDiff|Method called.
1/12 7:45:25|Utils|isSplit|Splitting for time 0.08000000000000007 = false
1/12 7:45:25|Utils|isSplit|result = false
1/12 7:45:25|Utils|isSplitForURLType|Method called.
1/12 7:45:25|Utils|isSplitForURLType|value = false
1/12 7:45:25|Utils|isSplitForURLType|value = true
1/12 7:45:25|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split page url for URL type = http://172.24.1.4:1323/favicon.ico
1/12 7:45:25|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532925333
1/12 7:45:25|Utils|convertToSecond method called|time = 3624.0
1/12 7:45:25|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532925333
1/12 7:45:25|Utils|convertToSecond method called|time = 3624.0
1/12 7:45:25|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/Newsamplescript\dump\flow\172.24.1.4_1323/
1/12 7:45:26|ChromeCClickListener|handleEvent|Method Called.
1/12 7:45:26|ChromeCClickListener|dumpEvent|Method Called. Event Type: value: "click"

 Tag Name = A
1/12 7:45:26|ChromeCClickListener|addLinkElement|Method Called.
1/12 7:45:26|Utils|setRecordingComments|method called.
1/12 7:45:26|ChromeBrowserNavigationListener|onStartLoadingFrame|Method Called for URL=http://172.24.1.4:1323/
1/12 7:45:26|ChromeBrowserNavigationListener|onStartLoadingFrame|Begin Loading URL == http://172.24.1.4:1323/  ===== Begin = 1673532926778
1/12 7:45:26|Utils|getURLTracker|urlString = http://172.24.1.4:1323/, requestOrResponce = snapShot
1/12 7:45:26|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/12 7:45:26|ProgressBar|setVisible|Method Called. bool = true
1/12 7:45:26|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:1323/|method called.
1/12 7:45:26|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/12 7:45:26|Utils|getURLTracker|urlString = http://172.24.1.4:1323/, requestOrResponce = request
1/12 7:45:26|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532926789
1/12 7:45:26|Utils|convertToSecond method called|time = 5080.0
1/12 7:45:26|Utils|isSplit|Method called.
1/12 7:45:26|Utils|isSplit|Splitting for Ajax Header = false
1/12 7:45:26|Utils|isSplit|Splitting for method GET = false
1/12 7:45:26|Utils|isSplit|result = false
1/12 7:45:26|Utils|isSplitForTimeDiff|Method called.
1/12 7:45:26|Utils|isSplit|Splitting for time 1.456 = false
1/12 7:45:26|Utils|isSplit|result = false
1/12 7:45:26|Utils|isSplitForURLType|Method called.
1/12 7:45:26|Utils|isSplitForURLType|value = false
1/12 7:45:26|Utils|isSplitForURLType|value = false
1/12 7:45:26|Utils|isSplit|isSplitForURLType = false
1/12 7:45:26|ChromeRecordingHttpListener|dumpRequestHeaders|Auto split page for user click = http://172.24.1.4:1323/
1/12 7:45:26|Utils|getURLTracker|urlString = http://172.24.1.4:1323/, requestOrResponce = response
1/12 7:45:26|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532926824
1/12 7:45:26|Utils|convertToSecond method called|time = 5115.0
1/12 7:45:26|Utils|isSplit|Method called.
1/12 7:45:26|Utils|isSplit|Splitting for Ajax Header = false
