1/13 3:17:24|Utils|isSplit|Splitting for time 0.020000000000000018 = false
1/13 3:17:24|Utils|isSplit|result = false
1/13 3:17:24|Utils|isSplitForURLType|Method called.
1/13 3:17:24|Utils|isSplitForURLType|value = false
1/13 3:17:24|Utils|isSplitForURLType|value = false
1/13 3:17:24|Utils|isSplitForURLType|value = false
1/13 3:17:24|Utils|isSplit|isSplitForURLType = false
1/13 3:17:24|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://172.24.1.4:8086/78.a8bcdf1568.js
1/13 3:17:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603244791
1/13 3:17:24|Utils|convertToSecond method called|time = 3903.0
1/13 3:17:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603244791
1/13 3:17:24|Utils|convertToSecond method called|time = 3903.0
1/13 3:17:24|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/Shortinfluxscript\dump\flow\172.24.1.4_8086/
1/13 3:17:24|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/13 3:17:24|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:8086/api/v2/setup|method called.
1/13 3:17:24|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/13 3:17:24|Utils|getURLTracker|urlString = http://172.24.1.4:8086/api/v2/setup, requestOrResponce = request
1/13 3:17:24|ChromeRecordingHttpListener|dumpRequestHeaders|URL is alredy captured. http://172.24.1.4:8086/api/v2/setup
1/13 3:17:24|Utils|getURLTracker|urlString = http://172.24.1.4:8086/api/v2/setup, requestOrResponce = response
1/13 3:17:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603244829
1/13 3:17:24|Utils|convertToSecond method called|time = 3941.0
1/13 3:17:24|Utils|isSplit|Method called.
1/13 3:17:24|Utils|isSplit|Splitting for method GET = false
1/13 3:17:24|Utils|isSplit|result = false
1/13 3:17:24|Utils|isSplitForTimeDiff|Method called.
1/13 3:17:24|Utils|isSplit|result = false
1/13 3:17:24|Utils|isSplitForURLType|Method called.
1/13 3:17:24|Utils|isSplitForURLType|value = true
1/13 3:17:24|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split page url for URL type = http://172.24.1.4:8086/api/v2/setup
1/13 3:17:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603244829
1/13 3:17:24|Utils|convertToSecond method called|time = 3941.0
1/13 3:17:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603244829
1/13 3:17:24|Utils|convertToSecond method called|time = 3941.0
1/13 3:17:24|ChromeRecordingHttpListener|onCompleted |No URL tracker created for request - http://172.24.1.4:8086/api/v2/setup_value: 9

